,x,y,target
0,-59.0479621887207,29.4334716796875,2.0
1,73.53683471679688,27.0445499420166,6.0
2,5.919799327850342,-30.818307876586914,3.0
3,18.410619735717773,-38.708457946777344,9.0
4,-35.90843200683594,7.335572242736816,1.0
5,-29.05415153503418,-28.223140716552734,8.0
6,50.923587799072266,-1.1753168106079102,4.0
7,-36.422203063964844,0.8008000254631042,7.0
8,-7.155903339385986,-38.38459777832031,3.0
9,-55.121543884277344,23.671152114868164,1.0
10,-66.12071228027344,17.68059539794922,2.0
11,-6.350761413574219,-25.052532196044922,3.0
12,30.10577392578125,-55.788726806640625,5.0
13,-12.448044776916504,1.0849249362945557,1.0
14,-58.66192626953125,30.208541870117188,2.0
15,-8.306543350219727,-13.853058815002441,3.0
16,21.122394561767578,61.37415313720703,0.0
17,-18.60978126525879,-41.81032943725586,8.0
18,48.34109115600586,-0.9122529625892639,4.0
19,4.298074245452881,-48.09475326538086,5.0
20,-6.025679111480713,-26.25214385986328,3.0
21,13.220142364501953,39.97915267944336,8.0
22,-6.266542434692383,-38.8465690612793,3.0
23,26.105043411254883,-51.627685546875,5.0
24,-22.29393768310547,0.5054745674133301,8.0
25,-17.141403198242188,4.715788841247559,1.0
26,-51.394500732421875,31.519868850708008,2.0
27,-52.65422058105469,-20.28897476196289,7.0
28,-22.27818489074707,71.51331329345703,0.0
29,-50.9095344543457,-13.308526039123535,7.0
30,-49.72264099121094,10.524314880371094,2.0
31,29.47631072998047,-12.573444366455078,9.0
32,18.976438522338867,64.8126220703125,0.0
33,-0.46300017833709717,-17.654878616333008,3.0
34,-11.278054237365723,10.664114952087402,7.0
35,42.04703903198242,8.989800453186035,4.0
36,-56.07602310180664,-18.31165885925293,7.0
37,-57.47589111328125,20.71242904663086,2.0
38,31.748455047607422,5.815924644470215,4.0
39,-63.85734558105469,24.7335205078125,2.0
40,62.87083435058594,19.654760360717773,6.0
41,-54.255126953125,33.19983673095703,2.0
42,-4.969659328460693,-19.211973190307617,3.0
43,-42.70003128051758,-0.30105891823768616,7.0
44,-68.47013854980469,16.96175765991211,2.0
45,29.74284553527832,6.1002888679504395,4.0
46,-22.656261444091797,-82.20999908447266,5.0
47,61.89414596557617,17.67156219482422,6.0
48,10.286737442016602,67.94851684570312,0.0
49,-38.647953033447266,-8.996644020080566,7.0
50,48.088741302490234,-1.353926658630371,4.0
51,-5.831631660461426,-75.71556854248047,5.0
52,88.76360321044922,11.990842819213867,6.0
53,-64.01031494140625,-18.044597625732422,7.0
54,-12.24767780303955,-32.76657485961914,3.0
55,-13.115446090698242,12.502557754516602,1.0
56,-32.634395599365234,-24.75861930847168,7.0
57,23.10334014892578,-50.77210998535156,5.0
58,8.855359077453613,-9.228536605834961,3.0
59,13.371716499328613,65.02495574951172,0.0
60,-6.876832485198975,-29.404441833496094,3.0
61,19.52277946472168,38.82954788208008,8.0
62,-10.17263126373291,0.3483705520629883,3.0
63,-36.916805267333984,22.655725479125977,1.0
64,-66.44384002685547,-16.41665267944336,7.0
65,-13.772244453430176,9.505990028381348,1.0
66,-18.377599716186523,70.77165985107422,0.0
67,23.809139251708984,12.513741493225098,4.0
68,20.120891571044922,40.35897445678711,8.0
69,-54.061279296875,33.30809020996094,2.0
70,23.666156768798828,0.6504893898963928,4.0
71,66.52354431152344,31.829526901245117,6.0
72,7.219413757324219,-15.357850074768066,3.0
73,55.713218688964844,-8.8889799118042,4.0
74,16.15119171142578,-17.763442993164062,9.0
75,-62.275428771972656,-13.273757934570312,7.0
